day,round,player1_name,player2_name,winner,p1_rank_points,p1_age,p1_ht,p1_is_lefty,p1_experience,p1_career_win_rate,p1_surface_win_rate,p1_recent_form,p1_avg_ace_rate,p1_avg_df_rate,p1_avg_1st_serve_pct,p1_avg_1st_serve_win_pct,p2_rank_points,p2_age,p2_ht,p2_is_lefty,p2_experience,p2_career_win_rate,p2_surface_win_rate,p2_recent_form,p2_avg_ace_rate,p2_avg_df_rate,p2_avg_1st_serve_pct,p2_avg_1st_serve_win_pct,h2h_matches,h2h_win_rate,tourney_importance,surface_hard,surface_clay,surface_grass,both_right_handed,both_left_handed,mixed_handed,month,quarter,month_sin,month_cos,split
1,1,Alexei Popyrin,Arthur Fery,2,1825.0,25.0,196.0,0,7.474332648870637,0.4563106796116505,0.3,0.65,0.0863342230273955,0.0521463254297561,0.6259966223983664,0.6693639449658648,243.0,21.9,175.0,0,1.9931553730321696,0.0,0.0,0.0,0.0278650619552973,0.0119760479041916,0.6242959625303848,0.5955569080949483,0,0.5,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
1,1,Billy Harris,Dusan Lajovic,1,552.0,29.6,193.0,0,1.648186173853525,0.5333333333333333,0.6,0.5333333333333333,0.1018535464825036,0.0163674451857989,0.6455065230099669,0.8089549902722128,811.0,34.1,183.0,0,15.159479808350444,0.4406047516198704,0.25,0.45,0.0309442444655297,0.0208781838147828,0.6682039540119198,0.6378262564900135,0,0.5,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
1,1,Mattia Bellucci,Oliver Crawford,1,574.0,23.3,175.0,1,2.4531143052703626,0.4,0.0,0.4,0.1370575562870802,0.0219269520560665,0.6649274020811275,0.7824646981384087,0.0,25.0,185.0,0,0.0,0.5,0.5,0.5,0.05,0.03,0.6,0.65,0,0.5,4,0,0,1,0,0,1,6,2,1.2246467991473532e-16,-1.0,test
1,1,Andrey Rublev,Laslo Djere,1,3760.0,27.0,188.0,0,10.798083504449009,0.6468330134357005,0.6551724137931034,0.5,0.0954338158797706,0.0333063878677509,0.6212318785317763,0.6997898862207695,1215.0,28.6,188.0,0,11.767282683093772,0.4880546075085324,0.3333333333333333,0.4,0.0617296734384214,0.0287766456980051,0.6323524346368098,0.6619253873237756,4,1.0,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
1,1,Jiri Lehecka,Hugo Dellien,1,1245.0,22.2,185.0,0,6.409308692676249,0.5416666666666666,0.5,0.55,0.1036142577312968,0.0347997604392384,0.6135459279022805,0.8265400892049122,529.0,31.2,180.0,0,14.976043805612594,0.3673469387755102,0.0,0.3,0.0220095832359991,0.0357976821467981,0.6628303671714353,0.6273109440753112,0,0.5,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
1,1,Francisco Cerundolo,Nuno Borges,2,1720.0,25.4,185.0,0,6.381930184804928,0.531578947368421,0.4666666666666667,0.55,0.0460311136700883,0.0379966567424924,0.61351196839017,0.659943012351271,1004.0,26.9,185.0,0,4.177960301163586,0.4382022471910112,0.0,0.55,0.0423561117959051,0.0453424036585747,0.5947501384639835,0.642907287464914,1,1.0,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
2,1,Arthur Rinderknech,Alexander Zverev,1,875.0,29.1,196.0,0,4.7529089664613275,0.4713375796178344,0.3684210526315789,0.55,0.090638033839379,0.0400823643542107,0.6003764118150848,0.708630572895633,7315.0,27.5,198.0,0,11.958932238193018,0.6998491704374057,0.6610169491525424,0.75,0.1323405468608939,0.0228647957199097,0.6890047322048319,0.8096978112659208,0,0.5,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
2,1,Alexandre Muller,Novak Djokovic,2,790.0,27.7,183.0,0,8.087611225188228,0.4090909090909091,0.5,0.45,0.0495648467148877,0.0379290792890163,0.6102027911284427,0.650688768618784,5560.0,37.3,188.0,0,21.22381930184805,0.8356566397652238,0.8581560283687943,0.85,0.0718784265214292,0.0280360933909021,0.6355222317001096,0.7665155304668737,1,0.0,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
2,1,Jannik Sinner,Luca Nardi,1,11830.0,23.2,191.0,0,6.190280629705681,0.7592067988668555,0.7,0.95,0.1290925615965101,0.0145650218093739,0.6393200399047644,0.8018496184420177,649.0,21.1,185.0,0,4.695414099931554,0.2258064516129032,0.25,0.25,0.037245780144877,0.0451994160886032,0.6287626694991106,0.6619442160963743,0,0.5,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
2,1,Taylor Fritz,Giovanni Mpetshi Perricard,1,3195.0,26.2,196.0,0,10.026009582477757,0.5987394957983193,0.5892857142857143,0.65,0.1319156629438368,0.0190237745520192,0.6340626524547919,0.804827766458612,1519.0,21.3,203.0,0,2.088980150581793,0.5588235294117647,0.5,0.55,0.2174378062267636,0.0414058292563344,0.6408427222570832,0.8326855097940327,0,0.5,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
2,1,Jack Draper,Sebastian Baez,1,2315.0,22.7,193.0,1,4.27378507871321,0.6076923076923076,0.6818181818181818,0.75,0.0750091236243432,0.0423785699083966,0.6071779746967711,0.6616021893763174,1525.0,23.0,170.0,0,4.312114989733059,0.5083798882681564,0.3,0.45,0.0855761589200305,0.0369972821194706,0.6424353095508021,0.7569814230490708,2,1.0,4,0,0,1,0,0,1,6,2,1.2246467991473532e-16,-1.0,test
2,1,Nikoloz Basilashvili,Lorenzo Musetti,1,481.0,31.0,185.0,0,11.19233401779603,0.4591194968553459,0.4545454545454545,0.25,0.0608392611064246,0.0636599366478005,0.5902351724711037,0.6743512617856858,2600.0,22.7,185.0,0,5.347022587268994,0.5469387755102041,0.6428571428571429,0.55,0.0587223925902857,0.0335586172050673,0.6132879706118215,0.6650556056090287,2,0.5,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
2,1,Ben Shelton,Alex Bolt,1,2330.0,22.1,193.0,1,2.9322381930184807,0.5691056910569106,0.4615384615384615,0.65,0.0989940986505853,0.0359502318817293,0.6513125200912219,0.7564068339398726,292.0,31.5,183.0,1,10.302532511978097,0.3541666666666667,0.3076923076923077,0.4,0.1206077106260051,0.0332091336060193,0.6159348845788803,0.7701754023931628,0,0.5,4,0,0,1,0,1,0,6,2,1.2246467991473532e-16,-1.0,test
2,1,Johannus Monday,Tommy Paul,2,0.0,25.0,185.0,0,0.0,0.5,0.5,0.5,0.05,0.03,0.6,0.65,3180.0,27.4,185.0,0,9.831622176591376,0.5866666666666667,0.6666666666666666,0.6,0.0419490732149408,0.0296369169188022,0.6182830562870455,0.655674886045822,0,0.5,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
2,1,Grigor Dimitrov,Yoshihito Nishioka,1,3740.0,33.4,191.0,0,17.0403832991102,0.6137566137566137,0.5875,0.7,0.1197237761019951,0.0464500508590241,0.6189933050605202,0.8095279820039691,695.0,28.3,170.0,1,10.847364818617386,0.4701754385964912,0.2666666666666666,0.65,0.0925056611239555,0.0208133802142561,0.6408139264066347,0.7411673808353014,3,1.0,4,0,0,1,0,0,1,6,2,1.2246467991473532e-16,-1.0,test
2,1,Matteo Arnaldi,Botic van De Zandschulp,2,1390.0,23.5,185.0,0,3.143052703627652,0.5217391304347826,0.25,0.45,0.0680499321364162,0.0295791558095617,0.5910494365131427,0.7408299656639821,0.0,25.0,185.0,0,0.0,0.5,0.5,0.5,0.05,0.03,0.6,0.65,0,0.5,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
2,1,Daniel Evans,Jay Clarke,1,334.0,34.2,175.0,0,17.05681040383299,0.4626865671641791,0.4,0.25,0.0471404928822855,0.0441812748571336,0.5736927319426895,0.6620403325619154,361.0,23.9,183.0,0,7.0335386721423685,0.1538461538461538,0.1666666666666666,0.1538461538461538,0.0559796417891519,0.0533114182264755,0.5321963057290835,0.674564044085992,0,0.5,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
2,1,Gael Monfils,Ugo Humbert,1,1010.0,38.1,193.0,0,20.71731690622861,0.6237623762376238,0.575,0.6,0.1000296196788099,0.0400313007938614,0.6040359244339051,0.7732960613809311,2370.0,26.2,188.0,1,6.841889117043121,0.5276752767527675,0.5555555555555556,0.65,0.0742647533935544,0.0351231310607489,0.6110697353154152,0.6882736462456304,5,0.4,4,0,0,1,0,0,1,6,2,1.2246467991473532e-16,-1.0,test
2,1,Alex de Minaur,Roberto Carballes Baena,1,0.0,25.0,185.0,0,0.0,0.5,0.5,0.5,0.05,0.03,0.6,0.65,981.0,31.6,183.0,0,12.188911704312115,0.4452830188679245,0.2352941176470588,0.45,0.053301753324897,0.032328468533595,0.6209701100783592,0.6588232589075305,0,0.5,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
2,1,Hugo Gaston,Jakub Mensik,2,712.0,24.1,173.0,1,7.359342915811088,0.4166666666666667,0.5,0.5,0.0591815033567711,0.0179924183980469,0.6080534160090376,0.7209581908436399,506.0,18.4,193.0,0,1.839835728952772,0.5714285714285714,0.3333333333333333,0.55,0.1149591872627017,0.0360459196389954,0.6502648452247483,0.7789309717772435,0,0.5,4,0,0,1,0,0,1,6,2,1.2246467991473532e-16,-1.0,test
2,1,Alex Michelsen,Miomir Kecmanovic,2,1245.0,20.3,193.0,0,2.0123203285420943,0.5189873417721519,0.5625,0.65,0.0860229836227287,0.0307194424764844,0.6750215269153966,0.7496216697406123,980.0,25.0,183.0,0,7.282683093771389,0.4948805460750853,0.46875,0.4,0.1122859840616593,0.0321293690911423,0.6351803723457162,0.7695498230934863,0,0.5,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
2,1,Shintaro Mochizuki,Giulio Zeppieri,1,408.0,21.3,175.0,0,4.350444900752909,0.1363636363636363,0.0,0.15,0.0457958262841826,0.0374492675553087,0.568565391243664,0.667709506500627,420.0,22.4,183.0,1,4.714579055441479,0.3,0.3,0.3,0.0651009597451771,0.0311044744292642,0.6231139375486452,0.7479822712902849,0,0.5,4,0,0,1,0,0,1,6,2,1.2246467991473532e-16,-1.0,test
2,1,Alexander Shevchenko,Reilly Opelka,2,895.0,23.7,185.0,0,2.9322381930184807,0.4418604651162791,0.25,0.4,0.0463107331380613,0.0443499092628336,0.6098723244250271,0.6507481712824033,167.0,27.0,211.0,0,9.23750855578371,0.5106382978723404,0.4,0.45,0.1757469410248386,0.041781974720478,0.6556633854358274,0.831937268783479,0,0.5,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
2,1,Chun-Hsin Tseng,Aleksandar Vukic,2,0.0,25.0,185.0,0,0.0,0.5,0.5,0.5,0.05,0.03,0.6,0.65,669.0,28.5,188.0,0,7.474332648870637,0.4361702127659574,0.5555555555555556,0.55,0.1351656267838672,0.0286929175572827,0.6291969602035061,0.7980629841905763,0,0.5,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
2,1,Rinky Hijikata,David Goffin,1,718.0,23.6,178.0,0,3.488021902806297,0.4375,0.5,0.45,0.0435723482825572,0.0375301517700675,0.5831862355896658,0.6375951302364069,980.0,33.8,180.0,0,14.48870636550308,0.5787728026533997,0.5357142857142857,0.7,0.0903922120756654,0.0372416993874025,0.6063666382903983,0.7348881520753229,1,0.0,4,0,0,1,1,0,0,6,2,1.2246467991473532e-16,-1.0,test
